설비,시각,진동,온도,압력,유량,정비이력
M-101,2026-08-27 00:00:00,19.85,55.27,3.01,80.34,0
M-101,2026-08-27 00:30:00,20.25,55.34,2.87,80.21,0
M-101,2026-08-27 01:00:00,19.52,55.51,3.08,79.1,0
M-101,2026-08-27 01:30:00,19.84,54.7,2.95,80.17,0
M-101,2026-08-27 02:00:00,20.28,55.1,2.95,79.68,0
M-101,2026-08-27 02:30:00,20.08,55.04,2.87,80.31,0
M-101,2026-08-27 03:00:00,20.13,54.61,2.85,80.53,0
M-101,2026-08-27 03:30:00,,55.37,2.87,80.91,0
M-101,2026-08-27 04:00:00,19.6,54.21,2.91,79.42,0
M-101,2026-08-27 04:30:00,20.55,55.17,2.88,80.8,0
M-101,2026-08-27 05:00:00,36.43,54.9,3.02,80.63,1
M-101,2026-08-27 05:30:00,19.82,54.59,3.08,80.11,0
M-101,2026-08-27 06:00:00,20.21,54.36,2.97,79.22,0
M-101,2026-08-27 06:30:00,19.7,55.67,3.07,79.78,0
M-101,2026-08-27 07:00:00,19.64,54.46,2.91,80.4,0
M-101,2026-08-27 07:30:00,20.26,55.46,2.88,80.1,0
M-101,2026-08-27 08:00:00,19.57,55.68,2.9,79.96,0
M-101,2026-08-27 08:30:00,20.49,54.75,3.14,79.92,0
M-101,2026-08-27 09:00:00,20.19,54.22,3.07,79.98,0
M-101,2026-08-27 09:30:00,,54.54,3.11,79.84,0
M-101,2026-08-27 10:00:00,20.17,55.28,3.01,79.74,0
M-101,2026-08-27 10:30:00,20.19,55.02,3.02,80.68,0
M-101,2026-08-27 11:00:00,19.57,54.21,2.99,80.64,0
M-101,2026-08-27 11:30:00,20.49,54.97,3.11,79.91,0
M-101,2026-08-27 12:00:00,19.87,55.76,2.88,79.09,0
M-101,2026-08-27 12:30:00,20.22,54.69,3.03,79.42,0
M-101,2026-08-27 13:00:00,19.92,55.42,2.94,79.05,0
M-101,2026-08-27 13:30:00,19.83,55.55,3.08,80.98,0
M-101,2026-08-27 14:00:00,19.71,55.27,3.04,79.19,0
M-101,2026-08-27 14:30:00,20.49,54.75,3.08,80.22,0
M-101,2026-08-27 15:00:00,20.17,54.24,2.87,66.14,1
M-101,2026-08-27 15:30:00,19.65,55.54,3.13,79.38,0
M-101,2026-08-27 16:00:00,19.51,55.44,3.02,79.31,0
M-101,2026-08-27 16:30:00,,54.72,2.97,79.47,0
M-101,2026-08-27 17:00:00,20.57,55.2,3.09,80.73,0
M-101,2026-08-27 17:30:00,20.28,54.95,2.86,80.16,0
M-101,2026-08-27 18:00:00,20.41,55.57,2.99,79.48,0
M-101,2026-08-27 18:30:00,19.62,55.57,2.9,79.36,0
M-101,2026-08-27 19:00:00,19.92,54.63,2.85,79.25,0
M-101,2026-08-27 19:30:00,20.26,55.09,3.11,79.95,0
M-101,2026-08-27 20:00:00,19.69,54.44,2.98,80.48,0
M-101,2026-08-27 20:30:00,19.64,55.05,2.93,80.22,0
M-101,2026-08-27 21:00:00,19.65,54.69,2.88,79.15,0
M-101,2026-08-27 21:30:00,20.41,55.5,3.11,79.99,0
M-101,2026-08-27 22:00:00,20.58,54.94,2.96,79.88,0
M-101,2026-08-27 22:30:00,19.76,55.29,2.95,79.98,0
M-101,2026-08-27 23:00:00,19.67,54.96,3.08,80.2,0
M-101,2026-08-27 23:30:00,20.24,55.21,2.85,80.89,0
M-102,2026-08-27 00:00:00,29.92,70.47,4.92,120.1,0
M-102,2026-08-27 00:30:00,30.47,70.46,5.11,119.08,0
M-102,2026-08-27 01:00:00,30.35,69.5,5.09,120.62,0
M-102,2026-08-27 01:30:00,30.26,70.33,4.86,119.66,0
M-102,2026-08-27 02:00:00,30.17,69.7,4.95,119.26,0
M-102,2026-08-27 02:30:00,30.44,69.22,5.0,120.94,0
M-102,2026-08-27 03:00:00,29.84,70.23,4.96,120.8,0
M-102,2026-08-27 03:30:00,29.58,70.6,5.06,120.61,0
M-102,2026-08-27 04:00:00,29.52,70.43,5.12,119.13,0
M-102,2026-08-27 04:30:00,30.34,70.61,4.89,120.71,0
M-102,2026-08-27 05:00:00,30.07,70.65,5.04,120.86,0
M-102,2026-08-27 05:30:00,30.32,70.53,4.98,120.21,0
M-102,2026-08-27 06:00:00,29.88,,5.04,120.17,0
M-102,2026-08-27 06:30:00,30.53,69.5,5.02,120.47,0
M-102,2026-08-27 07:00:00,30.07,69.97,4.93,119.02,0
M-102,2026-08-27 07:30:00,29.84,70.62,5.05,120.35,0
M-102,2026-08-27 08:00:00,29.61,69.42,5.05,120.52,0
M-102,2026-08-27 08:30:00,30.52,70.58,5.09,120.03,0
M-102,2026-08-27 09:00:00,29.66,70.13,4.91,120.61,0
M-102,2026-08-27 09:30:00,29.56,70.22,4.93,119.72,0
M-102,2026-08-27 10:00:00,29.48,69.96,4.9,154.56,1
M-102,2026-08-27 10:30:00,29.59,69.84,5.13,150.96,1
M-102,2026-08-27 11:00:00,29.87,70.03,4.86,147.82,1
M-102,2026-08-27 11:30:00,29.56,69.93,4.99,119.45,0
M-102,2026-08-27 12:00:00,29.8,70.36,5.01,119.59,0
M-102,2026-08-27 12:30:00,30.51,69.2,4.95,120.13,0
M-102,2026-08-27 13:00:00,29.68,70.44,4.91,119.89,0
M-102,2026-08-27 13:30:00,29.78,69.43,5.05,119.92,0
M-102,2026-08-27 14:00:00,29.47,70.32,4.96,121.0,0
M-102,2026-08-27 14:30:00,30.47,69.67,5.09,119.04,0
M-102,2026-08-27 15:00:00,29.68,69.77,4.88,120.09,0
M-102,2026-08-27 15:30:00,30.25,70.18,4.88,120.31,0
M-102,2026-08-27 16:00:00,30.32,69.21,5.13,119.87,0
M-102,2026-08-27 16:30:00,30.11,70.29,5.01,119.34,0
M-102,2026-08-27 17:00:00,29.96,69.93,4.88,120.72,0
M-102,2026-08-27 17:30:00,29.96,69.64,8.46,119.19,1
M-102,2026-08-27 18:00:00,30.5,70.49,4.91,120.49,0
M-102,2026-08-27 18:30:00,30.31,69.55,5.04,120.41,0
M-102,2026-08-27 19:00:00,29.83,70.08,5.0,120.11,0
M-102,2026-08-27 19:30:00,29.75,69.58,5.0,120.44,0
M-102,2026-08-27 20:00:00,30.16,69.64,5.11,120.72,0
M-102,2026-08-27 20:30:00,29.94,,4.89,120.91,0
M-102,2026-08-27 21:00:00,30.3,70.61,5.13,120.77,0
M-102,2026-08-27 21:30:00,29.78,70.39,5.1,119.09,0
M-102,2026-08-27 22:00:00,30.01,69.51,5.04,119.8,0
M-102,2026-08-27 22:30:00,30.12,70.64,5.09,120.69,0
M-102,2026-08-27 23:00:00,29.48,69.81,5.12,119.83,0
M-102,2026-08-27 23:30:00,30.04,70.1,4.91,119.03,0
M-203,2026-08-27 00:00:00,44.99,85.27,8.08,159.95,0
M-203,2026-08-27 00:30:00,44.52,85.76,7.93,160.19,0
M-203,2026-08-27 01:00:00,45.41,85.55,7.92,159.11,0
M-203,2026-08-27 01:30:00,45.11,85.39,,159.83,0
M-203,2026-08-27 02:00:00,45.43,84.56,7.98,159.84,0
M-203,2026-08-27 02:30:00,53.4,85.4,7.98,160.97,1
M-203,2026-08-27 03:00:00,44.48,84.79,8.0,159.08,0
M-203,2026-08-27 03:30:00,44.53,84.87,7.91,160.39,0
M-203,2026-08-27 04:00:00,44.88,84.47,7.98,159.15,0
M-203,2026-08-27 04:30:00,45.27,85.27,7.96,160.44,0
M-203,2026-08-27 05:00:00,45.5,85.38,8.1,160.58,0
M-203,2026-08-27 05:30:00,44.44,85.59,8.06,159.31,0
M-203,2026-08-27 06:00:00,44.92,85.78,8.1,159.21,0
M-203,2026-08-27 06:30:00,44.62,84.6,8.06,160.81,0
M-203,2026-08-27 07:00:00,44.63,85.0,8.02,160.24,0
M-203,2026-08-27 07:30:00,45.19,84.44,8.02,159.06,0
M-203,2026-08-27 08:00:00,45.42,85.5,7.93,160.39,0
M-203,2026-08-27 08:30:00,44.59,84.61,8.02,160.4,0
M-203,2026-08-27 09:00:00,45.01,84.22,7.9,159.48,0
M-203,2026-08-27 09:30:00,44.59,85.47,7.91,159.94,0
M-203,2026-08-27 10:00:00,44.57,85.11,8.11,160.71,0
M-203,2026-08-27 10:30:00,45.03,84.33,7.98,159.37,0
M-203,2026-08-27 11:00:00,45.21,84.54,8.0,160.0,0
M-203,2026-08-27 11:30:00,45.16,85.58,8.09,159.69,0
M-203,2026-08-27 12:00:00,45.46,85.09,8.03,159.5,0
M-203,2026-08-27 12:30:00,45.49,86.38,7.99,159.74,0
M-203,2026-08-27 13:00:00,45.08,85.98,8.04,159.86,0
M-203,2026-08-27 13:30:00,44.51,86.47,8.09,159.05,0
M-203,2026-08-27 14:00:00,45.03,87.0,,160.92,0
M-203,2026-08-27 14:30:00,45.37,88.5,7.97,159.67,0
M-203,2026-08-27 15:00:00,45.14,88.52,7.9,160.93,0
M-203,2026-08-27 15:30:00,44.96,90.01,8.08,159.05,0
M-203,2026-08-27 16:00:00,45.56,89.73,7.97,160.9,0
M-203,2026-08-27 16:30:00,45.18,91.53,8.12,160.41,0
M-203,2026-08-27 17:00:00,45.07,91.51,7.99,160.49,0
M-203,2026-08-27 17:30:00,45.08,91.65,8.1,159.83,0
M-203,2026-08-27 18:00:00,44.75,92.55,7.97,159.87,0
M-203,2026-08-27 18:30:00,45.45,93.9,8.05,159.67,0
M-203,2026-08-27 19:00:00,44.75,93.51,8.03,159.15,0
M-203,2026-08-27 19:30:00,44.69,94.55,8.04,159.46,0
M-203,2026-08-27 20:00:00,44.41,101.02,7.9,159.41,1
M-203,2026-08-27 20:30:00,45.6,96.8,7.9,159.75,0
M-203,2026-08-27 21:00:00,44.91,95.98,7.95,160.83,0
M-203,2026-08-27 21:30:00,45.24,97.07,8.05,159.67,0
M-203,2026-08-27 22:00:00,44.58,102.08,7.92,160.37,1
M-203,2026-08-27 22:30:00,44.8,99.32,8.03,160.83,0
M-203,2026-08-27 23:00:00,44.53,98.84,7.93,160.75,0
M-203,2026-08-27 23:30:00,44.84,99.84,7.98,160.73,0
