주문번호,주문일,고객등급,채널,지역,상품,분류,수량,단가
ORD1001,2026-01-03,실버,전화,서울,모니터,가전,2,350000
ORD1002,2026-01-03,VIP,웹,서울,노트북,가전,5,1200000
ORD1003,2026-01-04,실버,전화,광주,노트북,가전,5,1200000
ORD1004,2026-01-04,실버,전화,대구,키보드,주변기기,1,45000
ORD1005,2026-01-04,일반,웹,대구,텀블러,생활,3,28000
ORD1006,2026-01-04,일반,전화,대구,이어폰,주변기기,3,89000
ORD1007,2026-01-05,골드,전화,광주,노트북,가전,5,1200000
ORD1008,2026-01-05,일반,전화,경기,모니터,가전,1,350000
ORD1009,2026-01-05,일반,앱,부산,텀블러,생활,2,28000
ORD1010,2026-01-06,실버,전화,부산,키보드,주변기기,3,45000
ORD1011,2026-01-08,실버,웹,대구,가습기,생활,2,65000
ORD1012,2026-01-08,실버,전화,부산,가습기,생활,5,65000
ORD1013,2026-01-08,골드,앱,부산,모니터,가전,1,350000
ORD1014,2026-01-08,실버,전화,대구,이어폰,주변기기,3,89000
ORD1015,2026-01-09,실버,웹,광주,모니터,가전,3,350000
ORD1016,2026-01-09,VIP,앱,경기,마우스,주변기기,5,25000
ORD1017,2026-01-09,일반,웹,경기,마우스,주변기기,1,25000
ORD1018,2026-01-10,VIP,앱,광주,이어폰,주변기기,1,89000
ORD1019,2026-01-10,일반,전화,광주,이어폰,주변기기,1,89000
ORD1020,2026-01-10,골드,앱,경기,키보드,주변기기,1,45000
ORD1021,2026-01-11,일반,전화,부산,이어폰,주변기기,2,89000
ORD1022,2026-01-11,골드,웹,광주,모니터,가전,2,350000
ORD1023,2026-01-13,일반,웹,부산,키보드,주변기기,4,45000
ORD1024,2026-01-13,일반,웹,광주,키보드,주변기기,2,45000
ORD1025,2026-01-13,실버,웹,대구,마우스,주변기기,1,25000
ORD1026,2026-01-13,VIP,웹,광주,이어폰,주변기기,5,89000
ORD1027,2026-01-14,VIP,전화,대구,마우스,주변기기,3,25000
ORD1028,2026-01-14,실버,전화,경기,키보드,주변기기,,45000
ORD1029,2026-01-16,골드,웹,광주,노트북,가전,1,1200000
ORD1030,2026-01-17,VIP,웹,대구,이어폰,주변기기,2,89000
ORD1031,2026-01-19,VIP,앱,서울,키보드,주변기기,4,45000
ORD1032,2026-01-19,VIP,전화,부산,노트북,가전,1,1200000
ORD1033,2026-01-19,VIP,웹,대구,모니터,가전,2,350000
ORD1034,2026-01-21,일반,웹,광주,텀블러,생활,5,28000
ORD1035,2026-01-21,실버,앱,대구,텀블러,생활,2,28000
ORD1036,2026-01-21,VIP,웹,대구,노트북,가전,2,1200000
ORD1037,2026-01-22,VIP,웹,경기,키보드,주변기기,4,45000
ORD1038,2026-01-22,일반,전화,부산,이어폰,주변기기,5,89000
ORD1039,2026-01-22,실버,웹,광주,이어폰,주변기기,5,89000
ORD1040,2026-01-23,VIP,웹,광주,노트북,가전,2,1200000
ORD1041,2026-01-23,VIP,전화,광주,이어폰,주변기기,1,89000
ORD1042,2026-01-23,골드,웹,부산,키보드,주변기기,2,45000
ORD1043,2026-01-23,골드,웹,서울,키보드,주변기기,4,45000
ORD1044,2026-01-26,골드,웹,부산,모니터,가전,5,350000
ORD1045,2026-01-26,실버,앱,광주,키보드,주변기기,3,45000
ORD1046,2026-01-26,일반,전화,광주,텀블러,생활,5,28000
ORD1047,2026-01-26,일반,웹,광주,모니터,가전,3,350000
ORD1048,2026-01-27,실버,전화,부산,가습기,생활,3,65000
ORD1049,2026-02-02,일반,웹,부산,텀블러,생활,3,28000
ORD1050,2026-02-02,VIP,전화,대구,키보드,주변기기,2,45000
ORD1051,2026-02-02,일반,앱,광주,가습기,생활,2,65000
ORD1052,2026-02-04,골드,웹,경기,키보드,주변기기,1,45000
ORD1053,2026-02-04,실버,웹,경기,이어폰,주변기기,4,89000
ORD1054,2026-02-05,골드,앱,경기,노트북,가전,2,1200000
ORD1055,2026-02-05,일반,앱,경기,노트북,가전,4,1200000
ORD1056,2026-02-05,실버,웹,서울,키보드,주변기기,3,45000
ORD1057,2026-02-06,골드,앱,광주,텀블러,생활,1,28000
ORD1058,2026-02-06,일반,웹,부산,이어폰,주변기기,3,89000
ORD1059,2026-02-07,VIP,앱,부산,노트북,가전,1,1200000
ORD1060,2026-02-07,,앱,서울,노트북,가전,4,1200000
ORD1061,2026-02-08,골드,앱,서울,가습기,생활,2,65000
ORD1062,2026-02-08,일반,전화,부산,이어폰,주변기기,3,89000
ORD1063,2026-02-08,골드,전화,경기,키보드,주변기기,4,45000
ORD1064,2026-02-08,골드,앱,광주,마우스,주변기기,2,25000
ORD1065,2026-02-09,골드,앱,대구,마우스,주변기기,5,25000
ORD1066,2026-02-10,일반,앱,광주,텀블러,생활,2,28000
ORD1067,2026-02-10,골드,웹,경기,노트북,가전,2,1200000
ORD1068,2026-02-10,일반,앱,대구,마우스,주변기기,5,25000
ORD1069,2026-02-11,실버,웹,서울,마우스,주변기기,4,25000
ORD1070,2026-02-11,실버,웹,광주,노트북,가전,4,1200000
ORD1071,2026-02-11,VIP,웹,대구,텀블러,생활,1,28000
ORD1072,2026-02-12,VIP,전화,대구,키보드,주변기기,4,45000
ORD1073,2026-02-12,골드,웹,부산,마우스,주변기기,4,25000
ORD1074,2026-02-12,골드,앱,서울,가습기,생활,2,65000
ORD1075,2026-02-12,일반,웹,경기,키보드,주변기기,3,45000
ORD1076,2026-02-13,VIP,앱,광주,노트북,가전,4,1200000
ORD1077,2026-02-14,일반,전화,대구,마우스,주변기기,5,25000
ORD1078,2026-02-14,VIP,전화,광주,키보드,주변기기,4,45000
ORD1079,2026-02-14,골드,앱,대구,마우스,주변기기,,25000
ORD1080,2026-02-15,VIP,웹,광주,가습기,생활,2,65000
ORD1081,2026-02-15,일반,웹,대구,이어폰,주변기기,5,89000
ORD1082,2026-02-15,VIP,앱,경기,노트북,가전,3,1200000
ORD1083,2026-02-16,골드,웹,대구,키보드,주변기기,,45000
ORD1084,2026-02-16,일반,전화,서울,키보드,주변기기,2,45000
ORD1085,2026-02-16,실버,웹,경기,모니터,가전,1,350000
ORD1086,2026-02-17,골드,웹,광주,마우스,주변기기,3,25000
ORD1087,2026-02-19,일반,앱,광주,키보드,주변기기,1,45000
ORD1088,2026-02-20,일반,전화,경기,가습기,생활,2,65000
ORD1089,2026-02-20,일반,전화,서울,텀블러,생활,5,28000
ORD1090,2026-02-20,골드,웹,대구,키보드,주변기기,1,45000
ORD1091,2026-02-21,실버,앱,경기,가습기,생활,4,65000
ORD1092,2026-02-21,VIP,앱,대구,키보드,주변기기,5,45000
ORD1093,2026-02-22,일반,앱,대구,텀블러,생활,2,28000
ORD1094,2026-02-22,골드,웹,대구,이어폰,주변기기,4,89000
ORD1095,2026-02-23,골드,앱,광주,키보드,주변기기,3,45000
ORD1096,2026-02-25,실버,전화,대구,모니터,가전,1,350000
ORD1097,2026-02-25,VIP,앱,서울,가습기,생활,4,65000
ORD1098,2026-02-25,골드,전화,광주,가습기,생활,2,65000
ORD1099,2026-02-25,골드,앱,대구,키보드,주변기기,4,45000
ORD1100,2026-02-27,실버,웹,경기,키보드,주변기기,1,45000
ORD1101,2026-02-28,골드,웹,경기,텀블러,생활,5,28000
ORD1102,2026-02-28,실버,앱,서울,키보드,주변기기,1,45000
ORD1103,2026-02-28,VIP,웹,서울,가습기,생활,2,65000
ORD1104,2026-02-28,실버,웹,부산,마우스,주변기기,3,25000
ORD1105,2026-03-02,일반,웹,경기,마우스,주변기기,1,25000
ORD1106,2026-03-02,일반,전화,대구,노트북,가전,2,1200000
ORD1107,2026-03-02,VIP,앱,대구,모니터,가전,5,350000
ORD1108,2026-03-03,일반,전화,서울,키보드,주변기기,5,45000
ORD1109,2026-03-03,일반,웹,경기,모니터,가전,3,350000
ORD1110,2026-03-03,,전화,광주,노트북,가전,4,1200000
ORD1111,2026-03-04,VIP,웹,경기,가습기,생활,3,65000
ORD1112,2026-03-04,실버,앱,서울,가습기,생활,5,65000
ORD1113,2026-03-05,일반,웹,경기,텀블러,생활,2,28000
ORD1114,2026-03-05,골드,앱,서울,텀블러,생활,5,28000
ORD1115,2026-03-06,VIP,앱,서울,키보드,주변기기,5,45000
ORD1116,2026-03-06,골드,웹,서울,가습기,생활,3,65000
ORD1117,2026-03-06,일반,전화,부산,텀블러,생활,5,28000
ORD1118,2026-03-07,VIP,앱,경기,마우스,주변기기,5,25000
ORD1119,2026-03-08,골드,앱,부산,노트북,가전,4,1200000
ORD1120,2026-03-08,VIP,전화,대구,모니터,가전,3,350000
ORD1121,2026-03-08,일반,앱,서울,텀블러,생활,5,28000
ORD1122,2026-03-09,일반,전화,광주,텀블러,생활,5,28000
ORD1123,2026-03-09,VIP,전화,대구,이어폰,주변기기,3,89000
ORD1124,2026-03-09,골드,앱,대구,이어폰,주변기기,2,89000
ORD1125,2026-03-10,실버,앱,광주,텀블러,생활,,28000
ORD1126,2026-03-10,VIP,웹,경기,모니터,가전,1,350000
ORD1127,2026-03-10,VIP,앱,대구,이어폰,주변기기,3,89000
ORD1128,2026-03-10,실버,웹,부산,마우스,주변기기,2,25000
ORD1129,2026-03-11,골드,웹,부산,텀블러,생활,5,28000
ORD1130,2026-03-11,실버,앱,광주,이어폰,주변기기,4,89000
ORD1131,2026-03-12,골드,웹,경기,마우스,주변기기,4,25000
ORD1132,2026-03-12,일반,앱,대구,텀블러,생활,4,28000
ORD1133,2026-03-12,VIP,웹,경기,마우스,주변기기,2,25000
ORD1134,2026-03-12,,웹,광주,텀블러,생활,1,28000
ORD1135,2026-03-13,일반,앱,부산,마우스,주변기기,2,25000
ORD1136,2026-03-15,,앱,대구,텀블러,생활,5,28000
ORD1137,2026-03-15,골드,웹,서울,노트북,가전,2,1200000
ORD1138,2026-03-17,일반,웹,부산,모니터,가전,3,350000
ORD1139,2026-03-17,실버,웹,광주,키보드,주변기기,4,45000
ORD1140,2026-03-17,실버,웹,광주,모니터,가전,2,350000
ORD1141,2026-03-18,실버,웹,대구,마우스,주변기기,5,25000
ORD1142,2026-03-20,실버,웹,대구,키보드,주변기기,5,45000
ORD1143,2026-03-20,골드,앱,부산,키보드,주변기기,4,45000
ORD1144,2026-03-20,실버,앱,광주,마우스,주변기기,1,25000
ORD1145,2026-03-21,골드,웹,광주,노트북,가전,4,1200000
ORD1146,2026-03-21,VIP,앱,경기,노트북,가전,5,1200000
ORD1147,2026-03-22,실버,전화,서울,이어폰,주변기기,3,89000
ORD1148,2026-03-23,일반,전화,부산,텀블러,생활,4,28000
ORD1149,2026-03-23,VIP,웹,경기,키보드,주변기기,3,45000
ORD1150,2026-03-24,골드,웹,부산,이어폰,주변기기,5,89000
ORD1151,2026-03-24,골드,웹,대구,텀블러,생활,3,28000
ORD1152,2026-03-25,골드,웹,대구,텀블러,생활,,28000
ORD1153,2026-03-26,VIP,전화,부산,키보드,주변기기,3,45000
ORD1154,2026-03-26,골드,전화,경기,노트북,가전,5,1200000
ORD1155,2026-03-26,,웹,경기,마우스,주변기기,세개,25000
ORD1156,2026-03-27,실버,전화,경기,노트북,가전,1,1200000
ORD1157,2026-03-27,VIP,전화,경기,가습기,생활,5,65000
ORD1158,2026-03-27,VIP,앱,서울,텀블러,생활,4,28000
ORD1159,2026-03-28,일반,전화,부산,모니터,가전,3,350000
ORD1160,2026-03-28,VIP,앱,경기,키보드,주변기기,1,45000
ORD1161,2026-03-28,일반,전화,경기,텀블러,생활,4,28000
