주문번호,주문일,고객등급,채널,지역,상품,분류,수량,단가,매출액,월,요일,대형주문
ORD1001,2026-01-03,실버,전화,서울,모니터,가전,2,350000,700000,1,토,True
ORD1002,2026-01-03,VIP,웹,서울,노트북,가전,5,1200000,6000000,1,토,True
ORD1003,2026-01-04,실버,전화,광주,노트북,가전,5,1200000,6000000,1,일,True
ORD1004,2026-01-04,실버,전화,대구,키보드,주변기기,1,45000,45000,1,일,False
ORD1005,2026-01-04,일반,웹,대구,텀블러,생활,3,28000,84000,1,일,False
ORD1006,2026-01-04,일반,전화,대구,이어폰,주변기기,3,89000,267000,1,일,False
ORD1007,2026-01-05,골드,전화,광주,노트북,가전,5,1200000,6000000,1,월,True
ORD1008,2026-01-05,일반,전화,경기,모니터,가전,1,350000,350000,1,월,False
ORD1009,2026-01-05,일반,앱,부산,텀블러,생활,2,28000,56000,1,월,False
ORD1010,2026-01-06,실버,전화,부산,키보드,주변기기,3,45000,135000,1,화,False
ORD1011,2026-01-08,실버,웹,대구,가습기,생활,2,65000,130000,1,목,False
ORD1012,2026-01-08,실버,전화,부산,가습기,생활,5,65000,325000,1,목,False
ORD1013,2026-01-08,골드,앱,부산,모니터,가전,1,350000,350000,1,목,False
ORD1014,2026-01-08,실버,전화,대구,이어폰,주변기기,3,89000,267000,1,목,False
ORD1015,2026-01-09,실버,웹,광주,모니터,가전,3,350000,1050000,1,금,True
ORD1016,2026-01-09,VIP,앱,경기,마우스,주변기기,5,25000,125000,1,금,False
ORD1017,2026-01-09,일반,웹,경기,마우스,주변기기,1,25000,25000,1,금,False
ORD1018,2026-01-10,VIP,앱,광주,이어폰,주변기기,1,89000,89000,1,토,False
ORD1019,2026-01-10,일반,전화,광주,이어폰,주변기기,1,89000,89000,1,토,False
ORD1020,2026-01-10,골드,앱,경기,키보드,주변기기,1,45000,45000,1,토,False
ORD1021,2026-01-11,일반,전화,부산,이어폰,주변기기,2,89000,178000,1,일,False
ORD1022,2026-01-11,골드,웹,광주,모니터,가전,2,350000,700000,1,일,True
ORD1023,2026-01-13,일반,웹,부산,키보드,주변기기,4,45000,180000,1,화,False
ORD1024,2026-01-13,일반,웹,광주,키보드,주변기기,2,45000,90000,1,화,False
ORD1025,2026-01-13,실버,웹,대구,마우스,주변기기,1,25000,25000,1,화,False
ORD1026,2026-01-13,VIP,웹,광주,이어폰,주변기기,5,89000,445000,1,화,False
ORD1027,2026-01-14,VIP,전화,대구,마우스,주변기기,3,25000,75000,1,수,False
ORD1029,2026-01-16,골드,웹,광주,노트북,가전,1,1200000,1200000,1,금,True
ORD1030,2026-01-17,VIP,웹,대구,이어폰,주변기기,2,89000,178000,1,토,False
ORD1031,2026-01-19,VIP,앱,서울,키보드,주변기기,4,45000,180000,1,월,False
ORD1032,2026-01-19,VIP,전화,부산,노트북,가전,1,1200000,1200000,1,월,True
ORD1033,2026-01-19,VIP,웹,대구,모니터,가전,2,350000,700000,1,월,True
ORD1034,2026-01-21,일반,웹,광주,텀블러,생활,5,28000,140000,1,수,False
ORD1035,2026-01-21,실버,앱,대구,텀블러,생활,2,28000,56000,1,수,False
ORD1036,2026-01-21,VIP,웹,대구,노트북,가전,2,1200000,2400000,1,수,True
ORD1037,2026-01-22,VIP,웹,경기,키보드,주변기기,4,45000,180000,1,목,False
